japanese_term,english_term
和食,washoku
日本料理,japanese
寿司,sushi
海鮮・魚介,seafood
そば,soba
うなぎ,unagi
焼き鳥,yakitori
お好み焼き,okonomiyaki
もんじゃ焼き,monjya
洋食,yoshoku
フレンチ,french
イタリアン,italian
スペイン料理,spain
ステーキ,steak
中華料理,chinese
韓国料理,korea
タイ料理,thai
ラーメン,ramen
カレー,curry
鍋,nabe
もつ鍋,motsu
居酒屋,izakaya
パン,pan
スイーツ,sweets
バー・お酒,bar
天ぷら,tempura
焼肉,yakiniku
ビストロ,bistro
ハンバーグ,hamburgersteak
とんかつ,tonkatsu
串揚げ,kushiage
うどん,udon
しゃぶしゃぶ,syabusyabu
沖縄料理,okinawafood
ハンバーガー,hamburger
パスタ,pasta
ピザ,pizza
餃子,gyouza
ホルモン,horumon
カフェ,cafe
喫茶店,kissaten
ケーキ,cake
タピオカ,tapioka
食堂,teishoku
ビュッフェ・バイキング,viking
